GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.templates,TemplateEngine.Template,0,92,0,0,0,12,0,3,0,3
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.templates,TemplateEngine,0,15,0,0,0,5,0,2,0,2
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.templates,TemplateConfiguration,0,65,0,0,0,14,0,3,0,3
Cluecumber Core,com.trivago.cluecumberCore,CluecumberReportPluginCore,245,0,4,0,49,0,4,0,2,0
Cluecumber Core,com.trivago.cluecumberCore.logging,LoggerUtils.CluecumberLogLevel,0,44,0,0,0,2,0,1,0,1
Cluecumber Core,com.trivago.cluecumberCore.logging,LoggerUtils,24,73,7,10,8,21,7,9,0,7
Cluecumber Core,com.trivago.cluecumberCore.logging,LoggerUtils.LogLevel,0,24,0,0,0,2,0,1,0,1
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.pojos,ReportDetails,0,40,0,0,0,11,0,5,0,5
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.pojos,CustomParameter,1,52,1,1,0,11,1,5,0,5
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.pojos,Times,14,83,0,0,0,14,2,12,2,12
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.pojos,Times.FeatureTime,0,12,0,0,0,4,0,1,0,1
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.pojos,Feature,4,79,3,7,0,13,3,8,0,6
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.pojos,ResultCount,0,73,0,0,0,16,0,9,0,9
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.charts,PieChartBuilder,0,140,0,2,0,35,0,4,0,3
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.charts,StackedBarChartBuilder,0,232,0,4,0,67,0,10,0,8
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.charts,ChartJsonConverter,0,15,0,0,0,4,0,2,0,2
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.charts,PieChartBuilder.ValueSet,0,12,0,0,0,4,0,1,0,1
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.pojos.pagecollections,AllStepsPageCollection,1,138,1,3,0,28,1,14,0,13
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.pojos.pagecollections,AllScenariosPageCollection,84,253,22,20,22,65,15,39,2,31
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.pojos.pagecollections,AllTagsPageCollection,1,70,1,1,0,15,1,8,0,8
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.pojos.pagecollections,SummaryPageCollection,27,31,6,4,7,12,5,5,0,3
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.pojos.pagecollections,ScenarioSummaryPageCollection,0,66,1,3,0,16,1,8,0,6
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.pojos.pagecollections,AllFeaturesPageCollection,1,101,1,1,0,21,1,11,0,11
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.pojos.pagecollections,ScenarioDetailsPageCollection,0,10,0,0,0,4,0,2,0,2
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.pojos.pagecollections,PageCollection,0,38,0,0,0,15,0,9,0,9
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.charts.pojos,Legend,0,13,0,0,0,5,0,3,0,3
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.charts.pojos,Scales,0,17,0,0,0,7,0,5,0,5
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.charts.pojos,Options,0,24,0,0,0,10,0,7,0,7
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.charts.pojos,Dataset,0,31,0,0,0,13,0,9,0,9
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.charts.pojos,Axis,0,31,0,0,0,13,0,9,0,9
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.charts.pojos,Chart,0,24,0,0,0,10,0,7,0,7
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.charts.pojos,Ticks,0,27,0,0,0,11,0,7,0,7
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.charts.pojos,Data,0,34,0,0,0,8,0,6,0,6
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.charts.pojos,ScaleLabel,0,17,0,0,0,7,0,5,0,5
Cluecumber Core,com.trivago.cluecumberCore.json.processors,ReportJsonPostProcessor,1,129,4,10,0,38,4,9,0,6
Cluecumber Core,com.trivago.cluecumberCore.json.processors,ElementJsonPostProcessor,15,145,0,2,2,33,0,9,0,8
Cluecumber Core,com.trivago.cluecumberCore.json.processors,ElementIndexPreProcessor,0,53,1,5,0,16,1,4,0,2
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.renderering,AllScenariosPageRenderer,21,214,4,6,3,62,5,15,1,14
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.renderering,AllFeaturesPageRenderer,3,117,1,3,1,32,1,4,0,3
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.renderering,CustomCssRenderer.CustomStatusColors,21,0,0,0,8,0,4,0,4,0
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.renderering,ScenarioDetailsPageRenderer,21,179,2,0,4,36,2,4,1,4
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.renderering,AllStepsPageRenderer,38,86,3,1,8,26,2,3,0,3
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.renderering,AllTagsPageRenderer,44,88,4,2,9,23,3,3,0,3
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.renderering,RenderingUtils,3,175,3,11,1,40,4,14,1,10
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.renderering,CustomCssRenderer,45,0,0,0,13,0,2,0,2,0
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.renderering,PageRenderer,0,37,0,0,0,10,0,3,0,3
Cluecumber Core,com.trivago.cluecumberCore.exceptions.properties,WrongOrMissingPropertyException,0,13,0,0,0,2,0,1,0,1
Cluecumber Core,com.trivago.cluecumberCore.constants,ChartConfiguration,0,132,5,10,0,26,5,9,0,6
Cluecumber Core,com.trivago.cluecumberCore.constants,Status,0,101,0,0,0,13,0,4,0,4
Cluecumber Core,com.trivago.cluecumberCore.constants,MimeType,0,169,0,0,0,19,0,3,0,3
Cluecumber Core,com.trivago.cluecumberCore.constants,PluginSettings,0,3,0,0,0,2,0,1,0,1
Cluecumber Core,com.trivago.cluecumberCore.constants,ChartConfiguration.Type,0,24,0,0,0,1,0,1,0,1
Cluecumber Core,com.trivago.cluecumberCore.properties,PropertiesFileLoader,16,43,0,0,2,9,1,4,1,4
Cluecumber Core,com.trivago.cluecumberCore.properties,PropertyManager,313,236,16,20,24,72,14,36,3,29
Cluecumber Core,com.trivago.cluecumberCore.properties,LinkedProperties,0,42,0,0,0,10,0,8,0,8
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.visitors,ScenarioVisitor,0,135,0,4,0,26,0,4,0,2
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.visitors,FeatureVisitor,0,100,0,2,0,21,0,3,0,2
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.visitors,VisitorDirectory,31,0,0,0,8,0,2,0,2,0
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.visitors,StepVisitor,0,100,0,2,0,21,0,3,0,2
Cluecumber Core,com.trivago.cluecumberCore.rendering.pages.visitors,TagVisitor,0,100,0,2,0,21,0,3,0,2
Cluecumber Core,com.trivago.cluecumberCore.exceptions.filesystem,FileCreationException,0,13,0,0,0,2,0,1,0,1
Cluecumber Core,com.trivago.cluecumberCore.exceptions.filesystem,MissingFileException,0,13,0,0,0,2,0,1,0,1
Cluecumber Core,com.trivago.cluecumberCore.exceptions.filesystem,PathCreationException,0,13,0,0,0,2,0,1,0,1
Cluecumber Core,com.trivago.cluecumberCore.json.pojo,Result,0,59,1,3,0,17,1,12,0,11
Cluecumber Core,com.trivago.cluecumberCore.json.pojo,DocString,0,35,0,0,0,13,0,8,0,8
Cluecumber Core,com.trivago.cluecumberCore.json.pojo,Tag,2,47,2,4,0,10,2,7,0,6
Cluecumber Core,com.trivago.cluecumberCore.json.pojo,Element,18,502,13,53,7,133,12,76,0,55
Cluecumber Core,com.trivago.cluecumberCore.json.pojo,ResultMatch,0,123,0,15,0,29,0,28,0,20
Cluecumber Core,com.trivago.cluecumberCore.json.pojo,Embedding,0,145,3,22,0,30,3,25,0,14
Cluecumber Core,com.trivago.cluecumberCore.json.pojo,Report,0,124,0,4,0,42,0,23,0,21
Cluecumber Core,com.trivago.cluecumberCore.json.pojo,Argument,0,17,0,0,0,7,0,5,0,5
Cluecumber Core,com.trivago.cluecumberCore.json.pojo,Match,0,25,0,0,0,9,0,5,0,5
Cluecumber Core,com.trivago.cluecumberCore.json.pojo,Row,0,15,0,0,0,5,0,3,0,3
Cluecumber Core,com.trivago.cluecumberCore.json.pojo,Step,5,222,6,10,0,52,6,26,0,24
Cluecumber Core,com.trivago.cluecumberCore.rendering,ReportGenerator,16,271,3,3,1,53,2,7,0,6
Cluecumber Core,com.trivago.cluecumberCore.json,JsonPojoConverter,0,37,0,0,0,12,0,2,0,2
Cluecumber Core,com.trivago.cluecumberCore.filesystem,FileIO,8,66,1,3,3,16,1,6,0,5
Cluecumber Core,com.trivago.cluecumberCore.filesystem,FileSystemManager,15,153,2,4,4,30,3,7,1,6
Cluecumber Core,com.trivago.cluecumberCore.exceptions,CluecumberPluginException,0,4,0,0,0,2,0,1,0,1
